trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign
1,07:04:00,07:04:00,568,1,
1,07:05:00,07:05:00,566,2,
1,07:06:00,07:06:00,564,3,
1,07:08:00,07:08:00,560,4,
1,07:10:00,07:10:00,158,5,
1,07:15:00,07:15:00,562,6,
1,07:16:00,07:16:00,403,7,
1,07:17:00,07:17:00,405,8,
1,07:18:00,07:18:00,1267,9,
1,07:19:00,07:19:00,413,10,
1,07:21:00,07:21:00,163,11,
1,07:22:00,07:22:00,529,12,
1,07:23:00,07:23:00,526,13,
1,07:27:00,07:27:00,451,14,
1,07:30:00,07:30:00,444,15,
1,07:32:00,07:32:00,438,16,
1,07:34:00,07:34:00,447,17,
1,07:36:00,07:36:00,442,18,
1,07:37:00,07:37:00,448,19,
1,07:43:00,07:43:00,124,20,
1,07:44:00,07:44:00,845,21,
1,07:45:00,07:45:00,690,22,
1,07:46:00,07:46:00,684,23,
1,07:48:00,07:48:00,209,24,
1,07:49:00,07:49:00,208,25,
1,07:51:00,07:51:00,275,26,
1,07:51:00,07:51:00,1259,27,
1,07:55:00,07:55:00,221,28,
1,07:57:00,07:57:00,52,29,
1,07:58:00,07:58:00,222,30,
1,08:00:00,08:00:00,1247,31,
2,07:04:00,07:04:00,568,1,
2,07:05:00,07:05:00,566,2,
2,07:06:00,07:06:00,564,3,
2,07:08:00,07:08:00,560,4,
2,07:10:00,07:10:00,158,5,
2,07:15:00,07:15:00,562,6,
2,07:16:00,07:16:00,403,7,
2,07:17:00,07:17:00,405,8,
2,07:18:00,07:18:00,1267,9,
2,07:19:00,07:19:00,413,10,
2,07:21:00,07:21:00,163,11,
2,07:22:00,07:22:00,529,12,
2,07:23:00,07:23:00,526,13,
2,07:27:00,07:27:00,451,14,
2,07:30:00,07:30:00,444,15,
2,07:32:00,07:32:00,438,16,
2,07:34:00,07:34:00,447,17,
2,07:36:00,07:36:00,442,18,
2,07:37:00,07:37:00,448,19,
2,07:43:00,07:43:00,124,20,
2,07:44:00,07:44:00,845,21,
2,07:45:00,07:45:00,690,22,
2,07:46:00,07:46:00,684,23,
2,07:48:00,07:48:00,209,24,
2,07:49:00,07:49:00,208,25,
2,07:51:00,07:51:00,275,26,
2,07:51:00,07:51:00,1259,27,
2,07:55:00,07:55:00,221,28,
2,07:58:00,07:58:00,222,29,
2,08:00:00,08:00:00,1247,30,
3,07:04:00,07:04:00,568,1,
3,07:05:00,07:05:00,566,2,
3,07:06:00,07:06:00,564,3,
3,07:08:00,07:08:00,560,4,
3,07:10:00,07:10:00,158,5,
3,07:15:00,07:15:00,562,6,
3,07:16:00,07:16:00,403,7,
3,07:25:00,07:25:00,529,8,
3,07:26:00,07:26:00,526,9,
3,07:39:00,07:39:00,76,10,
3,07:41:00,07:41:00,257,11,
3,07:50:00,07:50:00,275,12,
3,07:51:00,07:51:00,52,13,
3,08:15:00,08:15:00,53,14,
3,08:20:00,08:20:00,689,15,
4,07:08:00,07:08:00,2622,1,
4,07:10:00,07:10:00,251,2,
4,07:13:00,07:13:00,250,3,
4,07:14:00,07:14:00,333,4,
4,07:16:00,07:16:00,299,5,
4,07:16:00,07:16:00,300,6,
4,07:17:00,07:17:00,301,7,
4,07:17:00,07:17:00,245,8,
4,07:19:00,07:19:00,302,9,
4,07:19:00,07:19:00,303,10,
4,07:22:00,07:22:00,304,11,
4,07:22:00,07:22:00,305,12,
4,07:23:00,07:23:00,306,13,
4,07:25:00,07:25:00,307,14,
4,07:25:00,07:25:00,103,15,
4,07:26:00,07:26:00,309,16,
4,07:27:00,07:27:00,310,17,
4,07:28:00,07:28:00,311,18,
4,07:29:00,07:29:00,96,19,
4,07:30:00,07:30:00,312,20,
4,07:31:00,07:31:00,313,21,
4,07:33:00,07:33:00,89,22,
5,07:10:00,07:10:00,17,1,
5,07:11:00,07:11:00,407,2,
5,07:12:00,07:12:00,159,3,
5,07:17:00,07:17:00,594,4,
5,07:20:00,07:20:00,156,5,
5,07:21:00,07:21:00,603,6,
5,07:22:00,07:22:00,581,7,
5,07:26:00,07:26:00,153,8,
5,07:31:00,07:31:00,780,9,
5,07:33:00,07:33:00,768,10,
5,07:34:00,07:34:00,795,11,
5,07:35:00,07:35:00,316,12,
5,07:36:00,07:36:00,166,13,
5,07:40:00,07:40:00,775,14,
5,07:41:00,07:41:00,787,15,
5,07:42:00,07:42:00,840,16,
5,07:43:00,07:43:00,835,17,
5,07:44:00,07:44:00,847,18,
5,07:45:00,07:45:00,837,19,
5,07:47:00,07:47:00,327,20,
5,07:49:00,07:49:00,56,21,
5,07:50:00,07:50:00,211,22,
5,07:52:00,07:52:00,380,23,
5,07:53:00,07:53:00,381,24,
5,08:03:00,08:03:00,53,25,
6,07:15:00,07:15:00,2622,1,
6,07:18:00,07:18:00,334,2,
6,07:20:00,07:20:00,335,3,
6,07:21:00,07:21:00,336,4,
6,07:22:00,07:22:00,337,5,
6,07:23:00,07:23:00,338,6,
6,07:24:00,07:24:00,339,7,
6,07:26:00,07:26:00,340,8,
6,07:27:00,07:27:00,341,9,
6,07:28:00,07:28:00,342,10,
6,07:29:00,07:29:00,343,11,
6,07:30:00,07:30:00,344,12,
6,07:31:00,07:31:00,345,13,
6,07:35:00,07:35:00,180,14,
6,07:36:00,07:36:00,282,15,
7,07:15:00,07:15:00,169,1,
7,07:17:00,07:17:00,463,2,
7,07:19:00,07:19:00,452,3,
7,07:20:00,07:20:00,464,4,
7,07:22:00,07:22:00,454,5,
7,07:24:00,07:24:00,458,6,
7,07:27:00,07:27:00,436,7,
7,07:30:00,07:30:00,656,8,
7,07:33:00,07:33:00,95,9,
7,07:36:00,07:36:00,660,10,
7,07:38:00,07:38:00,653,11,
7,07:38:00,07:38:00,661,12,
7,07:39:00,07:39:00,818,13,
7,07:41:00,07:41:00,109,14,
7,07:42:00,07:42:00,809,15,
7,07:43:00,07:43:00,181,16,
7,07:44:00,07:44:00,820,17,
7,07:46:00,07:46:00,182,18,
7,07:47:00,07:47:00,813,19,
7,07:49:00,07:49:00,816,20,
