route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id
34,3,1,ROYAN - Gare ,,0,
34,6,2,ROYAN - Gare ,,0,
38,3,3,ROYAN - Sainte Marie,,0,
32,4,4,ST PALAIS SUR MER -  Vallet,,0,
41,3,5,ROYAN - Cordouan,,0,
32,4,6,ST GEORGES DE DIDONNE - Parasols,,1,
42,3,7,ROYAN - Cordouan,,0,
50,3,8,ROYAN - Cordouan,,0,
191,3,9,CHENAC - St Seurin Port,,0,
128,4,10,SAUJON - Gare,,1,
40,3,11,ROYAN - Cordouan,,0,
44,3,12,ROYAN - Cordouan,,0,
33,3,13,ROYAN - Gare ,,0,
45,3,14,ROYAN - Cordouan,,0,
48,3,15,ROYAN - Cordouan,,0,
43,3,16,ROYAN - Cordouan,,0,
126,4,17,ROYAN - Gare ,,1,
36,6,18,ROYAN - Gare ,,0,
36,3,19,ROYAN - Gare ,,0,
31,4,20,ST SULPICE DE ROYAN - Centre,,1,
54,3,21,ROYAN - Dunant,,0,
37,6,22,ROYAN - Gare ,,0,
37,3,23,ROYAN - Gare ,,0,
47,3,24,ROYAN - Cordouan,,0,
35,4,25,ROYAN - Gare ,,0,
46,3,26,ROYAN - Cordouan,,0,
32,4,27,ST GEORGES DE DIDONNE - Parasols,,1,
13,3,28,LA TREMBLADE - Collège,,0,
51,3,29,ROYAN - Cordouan,,0,
55,3,30,ROYAN - Dunant,,0,
32,4,31,ST PALAIS SUR MER -  Vallet,,0,
158,3,32,ROYAN - Zola,,0,
58,3,33,ROYAN - Dunant,,0,
133,4,34,ROYAN -  Arago,,0,
184,3,35,LA TREMBLADE - Collège,,0,
11,3,36,LA TREMBLADE - Collège,,0,
128,4,37,SAUJON - Gare,,0,
31,4,38,ROYAN - Lavoisier,,0,
134,4,39,ROYAN - Cordouan,,0,
14,3,40,LA TREMBLADE - Collège,,0,
12,3,41,LA TREMBLADE - Collège,,0,
53,3,42,ROYAN - Dunant,,0,
57,3,43,ROYAN - Dunant,,0,
16,3,44,LA TREMBLADE - Collège,,0,
56,3,45,ROYAN - Dunant,,0,
